node,smelly
"{'org.alien4cloud.monitoring.diamond.agent_linux.relationships.DiamondCollectorHostedOnAgent': {'derived_from': 'org.alien4cloud.monitoring.diamond.pub.relationships.DiamondCollectorHostedOnAgent', 'interfaces': {'Configure': {'add_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collector_added.yml', 'dashboard_dir': {'get_attribute': ['TARGET', 'dashboard_dir']}, 'grafana_url': {'get_attribute': ['TARGET', 'grafana_url']}, 'grafana_user': {'get_attribute': ['TARGET', 'grafana_user']}, 'grafana_password': {'get_attribute': ['TARGET', 'grafana_password']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.aws.relationships.ELBServiceSide': {'derived_from': 'tosca.relationships.RoutesTo', 'interfaces': {'configure': {'add_target': {'inputs': {'lb_name': {'get_property': ['SOURCE', 'lb_name']}, 'instance_id': {'get_attribute': ['TARGET', 'aws_resource_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'scripts/add_target.sh'}, 'remove_target': {'inputs': {'lb_name': {'get_property': ['SOURCE', 'lb_name']}, 'instance_id': {'get_attribute': ['TARGET', 'aws_resource_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'scripts/remove_target.sh'}}}}}",false
"{'org.alien4cloud.automation.cloudify.hostpool.awsfeeder.relationships.HostpoolFeederConnectToHostpool': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.automation.cloudify.hostpool.pub.capabilities.HostPoolServiceApi'], 'interfaces': {'Configure': {'add_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'hostpool_connected.yml', 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_key']}, 'key_name': {'get_property': ['SOURCE', 'key_name']}, 'key_content': {'get_property': ['SOURCE', 'key_content']}, 'region': {'get_property': ['SOURCE', 'region']}, 'instance_name': {'get_property': ['SOURCE', 'instance_name']}, 'instance_count': {'get_property': ['SOURCE', 'instance_count']}, 'host_per_instance': {'get_property': ['SOURCE', 'host_per_instance']}, 'instance_username': {'get_property': ['SOURCE', 'instance_username']}, 'instance_groups': {'get_property': ['SOURCE', 'instance_groups']}, 'instance_image': {'get_property': ['SOURCE', 'instance_image']}, 'instance_type': {'get_property': ['SOURCE', 'instance_type']}, 'instance_os': {'get_property': ['SOURCE', 'instance_os']}, 'hostpool_url': {'concat': [{'get_property': ['TARGET', 'cloudify_hostpool', 'protocol']}, '://', {'get_attribute': ['TARGET', 'cloudify_hostpool', 'ip_address']}, ':', {'get_property': ['TARGET', 'cloudify_hostpool', 'port']}]}}, 'implementation': 'playbook/playbook.ansible'}}}}}",unknown
"{'org.alien4cloud.ansible.relationships.ELBProxyEC2Instance': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.ansible.capabilities.EC2Instance'], 'interfaces': {'configure': {'add_target': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'add_target.yml', 'lb_name': {'get_property': ['SOURCE', 'name']}, 'instance_id': {'get_attribute': ['TARGET', 'instance_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'playbooks/ELBProxyEC2Instance/playbook.ansible'}, 'remove_target': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'remove_target.yml', 'lb_name': {'get_property': ['SOURCE', 'name']}, 'instance_id': {'get_attribute': ['TARGET', 'instance_id']}, 'region': {'get_property': ['SOURCE', 'region']}, 'aws_access_key': {'get_property': ['SOURCE', 'aws_access_key_id']}, 'aws_secret_key': {'get_property': ['SOURCE', 'aws_secret_access_key']}}, 'implementation': 'playbooks/ELBProxyEC2Instance/playbook.ansible'}}}}}",unknown
"{'org.alien4cloud.demo.spark.streaming.relationships.SparkStreamingModuleHdfsRepoInput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.hdfs-repository.capabilities.HdfsRepository'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'HDFS_URL': {'get_attribute': ['TARGET', 'hdfs_folder_url']}, 'HDFS_PATH': {'get_attribute': ['TARGET', 'hdfs_folder_path']}, 'REL_TYPE': 'Input'}, 'implementation': 'scripts/SparkStreamingModuleHdfsRepo_io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark.streaming.relationships.SparkStreamingModuleHdfsRepoOutput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.hdfs-repository.capabilities.HdfsRepository'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'HDFS_URL': {'get_attribute': ['TARGET', 'hdfs_folder_url']}, 'HDFS_PATH': {'get_attribute': ['TARGET', 'hdfs_folder_path']}, 'REL_TYPE': 'Output'}, 'implementation': 'scripts/SparkStreamingModuleHdfsRepo_io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark.streaming.relationships.SparkStreamingModuleTopicInput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.kafka.topic.nodes.KafkaTopic'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'KAFKA_BROKER_ENDPOINT': {'get_attribute': ['TARGET', 'kafka_broker_endpoint']}, 'TOPIC_NAME': {'get_attribute': ['TARGET', 'topic_name']}, 'REL_TYPE': 'Input'}, 'implementation': 'scripts/SparkStreamingModuleTopic_io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark.streaming.relationships.SparkStreamingModuleTopicOutput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.kafka.topic.nodes.KafkaTopic'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'KAFKA_BROKER_ENDPOINT': {'get_attribute': ['TARGET', 'kafka_broker_endpoint']}, 'TOPIC_NAME': {'get_attribute': ['TARGET', 'topic_name']}, 'REL_TYPE': 'Output'}, 'implementation': 'scripts/SparkStreamingModuleTopic_io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark.streaming.relationships.SparkStreamingModuleDependency': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['org.alien4cloud.demo.spark.streaming.capabilities.SparkStreamingModuleDependency']}}",false
"{'org.alien4cloud.automation.a4c.webapp.relationships.AlienConnectToElasticSearch': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.storage.elasticsearch.pub.capabilities.ElasticSearchTransportAPI'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ES_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'ES_PORT': {'get_property': ['TARGET', 'elasticsearch', 'port']}, 'CLUSTER_NAME': {'get_property': ['TARGET', 'cluster_name']}}, 'implementation': 'scripts/elasticsearch/ConnectToElasticSearch/pre_configure_source.sh'}}}, 'artifacts': [{'commons': {'file': 'scripts/commons', 'type': 'tosca.artifacts.File'}}]}}",false
"{'org.alien4cloud.mock.bash.relationships.BashComponentConnectToComponent': {'derived_from': 'org.alien4cloud.mock.pub.relationships.AbstractComponentConnectToComponent', 'valid_target_types': ['org.alien4cloud.mock.bash.capabilities.BashComponentEndpoint'], 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'operation': 'pre_configure_source', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'pre_configure_target': {'inputs': {'operation': 'pre_configure_target', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'post_configure_source': {'inputs': {'operation': 'post_configure_source', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'post_configure_target': {'inputs': {'operation': 'post_configure_target', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'add_target': {'inputs': {'operation': 'add_target', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'add_source': {'inputs': {'operation': 'add_source', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'remove_target': {'inputs': {'operation': 'remove_target', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}, 'remove_source': {'inputs': {'operation': 'remove_source', 'duration': {'get_property': ['SOURCE', 'duration']}}, 'implementation': 'scripts/relation_operation.sh'}}}}}",unknown
"{'org.alien4cloud.relationships.demo.Relationship': {'description': 'Defines common definitions for our test.\n', 'derived_from': 'tosca.relationships.ConnectsTo', 'abstract': True, 'valid_target_types': ['org.alien4cloud.capabilities.demo.ServiceDemo']}}",false
"{'org.alien4cloud.relationships.demo.ConnectsTo': {'description': 'This is the default relationship to use between 2 concrete nodes.\n', 'derived_from': 'org.alien4cloud.relationships.demo.Relationship', 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'OPERATION': 'pre_configure_source', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'pre_configure_target': {'inputs': {'OPERATION': 'pre_configure_target', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'post_configure_source': {'inputs': {'OPERATION': 'post_configure_source', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'post_configure_target': {'inputs': {'OPERATION': 'post_configure_target', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'add_target': {'inputs': {'OPERATION': 'add_target', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'add_source': {'inputs': {'OPERATION': 'add_source', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'remove_target': {'inputs': {'OPERATION': 'remove_target', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}, 'remove_source': {'inputs': {'OPERATION': 'remove_source', 'RELATIONSHIP_TYPE': 'default'}, 'implementation': 'scripts/relationship.sh'}}}}}",unknown
"{'org.alien4cloud.relationships.demo.OverriddenConnectsTo': {'description': 'This is the default relationship to use when connecting a concrete node to a service.\n', 'derived_from': 'org.alien4cloud.relationships.demo.Relationship', 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'OPERATION': 'pre_configure_source', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'pre_configure_target': {'inputs': {'OPERATION': 'pre_configure_target', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'post_configure_source': {'inputs': {'OPERATION': 'post_configure_source', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'post_configure_target': {'inputs': {'OPERATION': 'post_configure_target', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'add_target': {'inputs': {'OPERATION': 'add_target', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'add_source': {'inputs': {'OPERATION': 'add_source', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'remove_target': {'inputs': {'OPERATION': 'remove_target', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}, 'remove_source': {'inputs': {'OPERATION': 'remove_source', 'RELATIONSHIP_TYPE': 'overridden'}, 'implementation': 'scripts/relationship.sh'}}}}}",false
"{'org.alien4cloud.relationships.WebSiteHostedOn': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship use to describe that the website is deployed on the target Apache server.', 'valid_target_types': ['org.alien4cloud.capabilities.ApacheContainer'], 'interfaces': {'Configure': {'post_configure_source': {'inputs': {'WEBFILE_URL': {'get_property': ['SOURCE', 'zip_url']}, 'CONTEXT_PATH': {'get_property': ['SOURCE', 'context_path']}, 'DOC_ROOT': {'get_property': ['TARGET', 'document_root']}}, 'implementation': 'scripts/deploy_website.sh'}}}}}",false
"{'alien.relationships.PetclinicConnectsToMysql': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'Relationship use to connect the Petclinic with a Mysql database', 'valid_target_types': ['org.alien4cloud.capabilities.MysqlDatabaseEndpoint'], 'interfaces': {'configure': {'post_configure_source': {'inputs': {'DB_USER': {'get_property': ['TARGET', 'db_user']}, 'DB_PASS': {'get_property': ['TARGET', 'db_password']}, 'DB_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'DB_PORT': {'get_property': ['TARGET', 'port']}, 'DB_NAME': {'get_property': ['TARGET', 'name']}, 'CONTEXT_PATH': {'get_property': ['SOURCE', 'app_endpoint', 'url_path']}}, 'implementation': 'scripts/install_petclinic_mysql.sh'}}}}}",false
"{'alien.relationships.PetclinicConnectsToPostgresql': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'Relationship use to connect the Petclinic with a Postgresql database', 'valid_target_types': ['org.alien4cloud.capabilities.PostgresqlDatabaseEndpoint'], 'interfaces': {'configure': {'post_configure_source': {'inputs': {'DB_USER': {'get_property': ['TARGET', 'user']}, 'DB_PASS': {'get_property': ['TARGET', 'password']}, 'DB_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'DB_PORT': {'get_property': ['TARGET', 'port']}, 'DB_NAME': {'get_property': ['TARGET', 'name']}, 'CONTEXT_PATH': {'get_property': ['SOURCE', 'app_endpoint', 'url_path']}}, 'implementation': 'scripts/install_petclinic_postgresql.sh'}}}}}",false
"{'org.alien4cloud.automation.a4c.config.backupRestoreS3.relationships.BackupRestoreS3DependsOnAwsCli': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['org.alien4cloud.cloud.amazon.cli.pub.capabilities.AwsCli']}}",false
"{'org.alien4cloud.automation.cloudify.manager.v4.relationships.ConfigureAWSKey': {'derived_from': 'tosca.relationships.Root', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'SSH_KEY_FILENAME': {'get_property': ['TARGET', 'key_file_name']}, 'KEYPAIR_NAME': {'get_property': ['TARGET', 'keypair_name']}}, 'implementation': 'scripts/aws_configure_key.sh'}}}}}",false
"{'org.alien4cloud.automation.cloudify.manager.v4.relationships.ConfigureOpenstackKey': {'derived_from': 'tosca.relationships.Root', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'SSH_KEY_FILENAME': {'get_property': ['TARGET', 'key_file_name']}, 'KEYPAIR_NAME': {'get_property': ['TARGET', 'keypair_name']}}, 'implementation': 'scripts/openstack_configure_key.sh'}}}}}",false
"{'org.alien4cloud.demo.kafka.topic.relationships.KafkaTopicConnectToZookeeper': {'derived_from': 'tosca.relationships.ConnectsTo', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ZOOKEEPER_IP': {'get_attribute': ['TARGET', 'zookeeper_endpoint', 'ip_address']}, 'ZOOKEEPER_PORT': {'get_attribute': ['TARGET', 'zookeeper_endpoint', 'port']}}, 'implementation': 'scripts/KafkaTopicConnectToZookeeper/pre_configure_source.sh'}}}}}",false
"{'org.alien4cloud.demo.kafka.topic.relationships.KafkaTopicConnectToBroker': {'derived_from': 'tosca.relationships.ConnectsTo', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'KAFKA_IP': {'get_attribute': ['TARGET', 'kafka_endpoint', 'ip_address']}, 'KAFKA_PORT': {'get_attribute': ['TARGET', 'kafka_endpoint', 'port']}}, 'implementation': 'scripts/KafkaTopicConnectToBroker/pre_configure_source.sh'}}}}}",false
{'org.alien4cloud.monitoring.diamond.pub.relationships.DiamondCollectorHostedOnAgent': {'derived_from': 'tosca.relationships.HostedOn'}},lazy
"{'org.alien4cloud.relationships.AlienConnectToElasticSearch': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'Relationship use to describe that the Alien is connect on the target Elasticsearch.', 'valid_target_types': ['org.alien4cloud.capabilities.ElasticSearch'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ES_IP': {'get_attribute': ['TARGET', 'ip_address']}}, 'implementation': 'scripts/alien/config_alien.sh'}}}}}",false
"{'org.alien4cloud.relationships.AlienITConnectToElasticSearch': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'Relationship use to describe that the Alien is connect on the target Elasticsearch.', 'valid_target_types': ['alien.capabilities.ElasticSearch'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ES_IP': {'get_attribute': ['TARGET', 'ip_address']}}, 'implementation': 'scripts/it/config_it.sh'}}}}}",false
"{'org.alien4cloud.relationships.AlienITDependsOnAlien': {'derived_from': 'tosca.relationships.DependsOn', 'description': 'Relationship use to describe that AlienIT needs Alien.', 'valid_target_types': ['alien.capabilities.Alien']}}",false
"{'org.alien4cloud.sandbox.services.dummy.client.relationships.DummyClientConnectToService': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.sandbox.services.dummy.pub.nodes.DummyService'], 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'context': 'Private', 'service_host_uname': {'get_attribute': ['TARGET', 'host_uname']}, 'service_protocol': {'get_attribute': ['TARGET', 'dummy_api', 'protocol']}, 'service_port': {'get_attribute': ['TARGET', 'dummy_api', 'port']}, 'service_ip_address': {'get_attribute': ['TARGET', 'dummy_api', 'ip_address']}}, 'implementation': 'scripts/pre_configure_source_private.sh'}, 'add_target': {'inputs': {'context': 'Private', 'service_host_uname': {'get_attribute': ['TARGET', 'host_uname']}, 'service_protocol': {'get_attribute': ['TARGET', 'dummy_public_api', 'protocol']}, 'service_port': {'get_attribute': ['TARGET', 'dummy_public_api', 'port']}, 'service_ip_address': {'get_attribute': ['TARGET', 'dummy_public_api', 'ip_address']}}, 'implementation': 'scripts/add_target.sh'}}}}}",false
"{'org.alien4cloud.sandbox.services.dummy.client.relationships.DummyClientConnectToPublicService': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.sandbox.services.dummy.pub.nodes.DummyService'], 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'context': 'Public', 'service_host_uname': {'get_attribute': ['TARGET', 'host_uname']}, 'service_protocol': {'get_attribute': ['TARGET', 'dummy_public_api', 'protocol']}, 'service_port': {'get_attribute': ['TARGET', 'dummy_public_api', 'port']}, 'service_ip_address': {'get_attribute': ['TARGET', 'dummy_public_api', 'ip_address']}}, 'implementation': 'scripts/pre_configure_source_public.sh'}}}}}",false
"{'org.alien4cloud.demo.spark-jobs.relationships.SparkApp2HdfsRepoInput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.hdfs-repository.capabilities.HdfsRepository'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'HDFS_URL': {'get_attribute': ['TARGET', 'hdfs_folder_url']}, 'HDFS_PATH': {'get_attribute': ['TARGET', 'hdfs_folder_path']}, 'REL_TYPE': 'Input'}, 'implementation': 'scripts/io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark-jobs.relationships.SparkApp2HdfsRepoOutput': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.demo.hdfs-repository.capabilities.HdfsRepository'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'HDFS_URL': {'get_attribute': ['TARGET', 'hdfs_folder_url']}, 'HDFS_PATH': {'get_attribute': ['TARGET', 'hdfs_folder_path']}, 'REL_TYPE': 'Output'}, 'implementation': 'scripts/io.sh'}}}}}",false
"{'org.alien4cloud.demo.spark-jobs.relationships.SparkAppDependency': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['org.alien4cloud.demo.spark-jobs.capabilities.SparkApplicationDependency'], 'interfaces': {'Configure': {'pre_configure_source': {'implementation': 'scripts/app_connect.sh'}}}}}",false
