type,smelly
"{'tosca.nodes.LoadBalancer': {'derived_from': 'tosca.nodes.Root', 'properties': {'algorithm': {'type': 'string', 'required': False, 'status': 'experimental'}}, 'capabilities': {'client': {'type': 'tosca.capabilities.Endpoint.Public', 'occurrences': [0, 'UNBOUNDED'], 'description': 'the Floating (IP) client’s on the public network can connect to'}}, 'requirements': [{'application': {'capability': 'tosca.capabilities.Endpoint', 'relationship': 'tosca.relationships.RoutesTo', 'occurrences': [0, 'UNBOUNDED'], 'description': 'Connection to one or more load balanced applications'}}]}}",0
"{'tosca.nodes.Container.Application': {'derived_from': 'tosca.nodes.Root', 'requirements': [{'host': {'capability': 'tosca.capabilities.Container', 'node': 'tosca.nodes.Container.Runtime', 'relationship': 'tosca.relationships.HostedOn'}}]}}",0
"{'tosca.nodes.Container.Runtime': {'derived_from': 'tosca.nodes.SoftwareComponent', 'capabilities': {'host': {'type': 'tosca.capabilities.Container'}, 'scalable': {'type': 'tosca.capabilities.Scalable'}}}}",0
"{'tosca.nodes.Container.Application.Docker': {'derived_from': 'tosca.nodes.Container.Application', 'requirements': [{'host': {'capability': 'tosca.capabilities.Container.Docker'}}]}}",0
"{'tosca.nodes.WebApplication.WordPress': {'derived_from': 'tosca.nodes.WebApplication', 'requirements': [{'database_endpoint': {'capability': 'tosca.capabilities.Endpoint.Database', 'node': 'tosca.nodes.Database', 'relationship': 'tosca.relationships.ConnectsTo'}}], 'interfaces': {'Standard': {'inputs': {'wp_db_name': {'type': 'string'}, 'wp_db_user': {'type': 'string'}, 'wp_db_password': {'type': 'string'}}}}}}",0
"{'tosca.nodes.ComputeWithAttrList': {'derived_from': 'tosca.nodes.Compute', 'attributes': {'attr_list': {'type': 'map', 'entry_schema': {'type': 'string'}}}}}",0
"{'tosca.nodes.myserver': {'derived_from': 'tosca.nodes.Compute', 'properties': {'key_name': {'type': 'string'}, 'image': {'type': 'string'}, 'flavor': {'type': 'string'}}}}",0
"{'tosca.nodes.WebApplication.PayPalPizzaStore': {'derived_from': 'tosca.nodes.WebApplication', 'properties': {'github_url': {'required': False, 'type': 'string', 'description': 'location of the application on the github.', 'default': 'https://github.com/sample.git'}}, 'requirements': [{'database_connection': {'capability': 'tosca.capabilities.Endpoint.Database', 'node': 'tosca.nodes.Database', 'relationship': 'tosca.relationships.ConnectsTo'}}], 'interfaces': {'Standard': {'configure': {'inputs': {'github_url': {'type': 'string'}, 'mongodb_ip': {'type': 'string'}}}}}}}",0
"{'tosca.nodes.SomeSoftwareComponent': {'derived_from': 'tosca.nodes.SoftwareComponent', 'properties': {'test': {'type': 'string'}}}}",0
"{'tosca.nodes.SoftwareComponentTest': {'derived_from': 'tosca.nodes.SoftwareComponent', 'properties': {'some_prop': {'type': 'boolean'}}}}",0
"{'tosca.nodes.ComputeTest': {'derived_from': 'tosca.nodes.Compute', 'capabilities': {'endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'tosca.nodes.SoftwareComponent.Rsyslog': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'log_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Logstash', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'MyNodeType': {'derived_from': 'Root', 'properties': {'test_port': {'type': 'PortSpec'}}}}",0
"{'tosca.nodes.SoftwareComponent.Collectd': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'log_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Logstash', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'tosca.nodes.SoftwareComponent.Collectd': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'log_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Logstash', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'tosca.nodes.SomeNode': {'derived_from': 'tosca.nodes.Root', 'capabilities': {'cap1': {'type': 'tosca.capabilities.SomeCap'}}}}",0
"{'tosca.nodes.SoftwareComponent.Rsyslog': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'log_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Logstash', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'sample.SC': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'custom_host': {'capability': 'tosca.capabilities.Attachment', 'node': 'tosca.nodes.Compute'}}]}}",0
"{'tosca.nodes.SoftwareComponent.Logstash': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'search_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Elasticsearch', 'relationship': {'type': 'tosca.relationships.ConnectsTo', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'elasticsearch_ip': {'type': 'string'}}}}}}}}], 'capabilities1': {'log_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'tosca.nodes.WebApplication.PayPalPizzaStore': {'derived_from': 'tosca.nodes.WebApplication', 'properties': {'github_url': {'required': False, 'type': 'string', 'description': 'location of the application on the github.', 'default': 'https://github.com/sample.git'}}, 'requirements': [{'database_connection': {'capability': 'tosca.capabilities.Endpoint.Database', 'node': 'tosca.nodes.Database', 'relationship': 'tosca.relationships.ConnectsTo'}}], 'interfaces': {'Standard': {'configure': {'inputs': {'github_url': {'type': 'string'}, 'mongodb_ip': {'type': 'string'}}}}}}}",0
"{'tosca.nodes.nfv.Vdu.Compute': {'derived_from': 'tosca.nodes.Root', 'description': '', 'properties': {'name': {'type': 'string', 'required': True}, 'description': {'type': 'string', 'required': False}, 'monitoring_parameters': {'type': 'list', 'description': '', 'required': False, 'entry_schema': {'type': 'tosca.datatypes.nfv.VnfcMonitoringParameter'}}, 'sw_image_data': {'type': 'tosca.datatypes.nfv.SwImageData', 'required': False}}}}",0
"{'tosca.datatypes.nfv.SwImageData': {'derived_from': 'tosca.datatypes.Root', 'description': 'describes information  related to a software image artifact', 'properties': {'name': {'type': 'string', 'description': 'Name of this software image', 'required': True}}}}",0
"{'tosca.nodes.SoftwareComponent.Kibana': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'search_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Elasticsearch', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'tosca.nodes.SomeNode': {'derived_from': 'tosca.nodes.Root', 'capabilities': {'lrms': {'type': 'tosca.capabilities.SomeChildCap'}}}}",0
"{'tosca.nodes.ComputeWithProp': {'derived_from': 'tosca.nodes.Compute', 'properties': {'test': {'required': False, 'type': 'integer'}}}}",0
"{'tosca.nodes.ComputeWithCapWithAttr': {'derived_from': 'tosca.nodes.Compute', 'capabilities': {'endpoint': {'type': 'tosca.capabilities.indigo.Endpoint'}}}}",0
"{'ServerNode': {'derived_from': 'SoftwareComponent', 'properties': {'notification_port': {'type': 'integer'}}}}",0
{'tosca.nodes.SoftwareComponent.Rsyslog.TestRsyslogType': {'derived_from': 'test_namespace_prefix.Rsyslog'}},0
{'Test2ndRsyslogType': {'derived_from': 'test_2nd_namespace_prefix.Rsyslog'}},0
"{'tosca.nodes.WebApplication.WordPress': {'derived_from': 'tosca.nodes.WebApplication', 'requirements': [{'database_endpoint': {'capability': 'tosca.capabilities.Endpoint.Database', 'node': 'tosca.nodes.Database', 'relationship': 'tosca.relationships.ConnectsTo'}}], 'interfaces': {'Standard': {'inputs': {'wp_db_name': {'type': 'string'}, 'wp_db_user': {'type': 'string'}, 'wp_db_password': {'type': 'string'}}}}}}",0
"{'tosca.nodes.DatabaseWithListParam': {'derived_from': 'tosca.nodes.Database', 'properties': {'list_prop': {'type': 'list', 'entry_schema': {'type': 'integer'}}}}}",0
"{'example.app': {'derived_from': 'tosca.nodes.WebApplication', 'properties': {'mq_server_ip': {'type': 'string', 'required': False}, 'receiver_port': {'type': 'integer', 'required': False}}, 'attributes': {'receiver_ip': {'type': 'string'}, 'receiver_port': {'type': 'integer'}}}}",0
"{'tosca.nodes.WebApplication.TestApp': {'derived_from': 'tosca.nodes.WebApplication', 'capabilities': {'test_cap': {'type': 'tosca.capabilities.TestCapabilityAA'}}}}",0
{'tosca.capabilities.TestCapabilityA': {'derived_from': 'tosca.capabilities.Root'}},0
"{'tosca.capabilities.TestCapabilityAA': {'derived_from': 'tosca.capabilities.TestCapabilityA', 'properties': {'test': {'type': 'integer', 'required': False}}}}",0
"{'tosca.nodes.my.SomeNode': {'derived_from': 'tosca.nodes.Root', 'properties': {'people': {'type': 'tosca.my.datatypes.People'}}}}",0
"{'tosca.nodes.SomeNode': {'derived_from': 'tosca.nodes.Root', 'properties': {'some_prop': {'type': 'string', 'required': False, 'default': 'some'}}, 'requirements': [{'some_req': {'capability': 'tosca.capabilities.SomeCap', 'node': 'tosca.nodes.NodeWithCap', 'relationship': 'tosca.relationships.HostedOn'}}]}}",0
"{'tosca.nodes.NodeWithCap': {'derived_from': 'tosca.nodes.Root', 'capabilities': {'some_req': {'type': 'tosca.capabilities.SomeCap'}}}}",0
"{'tosca.nodes.SoftwareComponent.Logstash': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'search_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Elasticsearch', 'relationship': {'type': 'tosca.relationships.ConnectsTo', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'elasticsearch_ip': {'type': 'string'}}}}}}}}], 'capabilities': {'log_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'Rsyslog': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'log_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Logstash', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'tosca.nodes.SoftwareComponent.Logstash': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'search_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Elasticsearch', 'relationship': {'type': 'tosca.relationships.ConnectsTo', 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'elasticsearch_ip': {'type': 'string'}}}}}}}}], 'capabilities': {'log_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
"{'tosca.nodes.nfv.VDU.Tacker': {'derived_from': 'tosca.nodes.nfv.VDU', 'capabilities': {'nfv_compute': {'type': 'tosca.datatypes.compute_properties'}}, 'properties': {'name': {'type': 'string', 'required': False}, 'image': {'type': 'string', 'required': False}, 'flavor': {'type': 'string', 'required': False}, 'availability_zone': {'type': 'string', 'required': False}, 'metadata': {'type': 'map', 'entry_schema': {'type': 'string'}, 'required': False}, 'config_drive': {'type': 'boolean', 'default': False, 'required': False}, 'placement_policy': {'type': 'string', 'required': False}, 'monitoring_policy': {'type': 'map', 'required': False}, 'config': {'type': 'string', 'required': False}, 'mgmt_driver': {'type': 'string', 'default': 'noop', 'required': False}, 'service_type': {'type': 'string', 'required': False}, 'user_data': {'type': 'string', 'required': False}, 'user_data_format': {'type': 'string', 'required': False}, 'key_name': {'type': 'string', 'required': False}}}}",0
"{'tosca.nodes.nfv.CP.Tacker': {'derived_from': 'tosca.nodes.nfv.CP', 'properties': {'mac_address': {'type': 'string', 'required': False}, 'name': {'type': 'string', 'required': False}, 'management': {'type': 'boolean', 'required': False}, 'anti_spoofing_protection': {'type': 'boolean', 'required': False}, 'security_groups': {'type': 'list', 'required': False}, 'type': {'type': 'string', 'required': False, 'constraints': [{'valid_values': ['sriov', 'vnic']}]}}}}",0
"{'tosca.nodes.nfv.FP.Tacker': {'derived_from': 'tosca.nodes.Root', 'properties': {'id': {'type': 'integer', 'required': False}, 'policy': {'type': 'tosca.nfv.datatypes.policyType', 'required': True, 'description': 'policy to use to match traffic for this FP'}, 'path': {'type': 'tosca.nfv.datatypes.pathType', 'required': True, 'entry_schema': None}}}}",0
"{'tosca.nodes.CustomInterfaceTest': {'derived_from': 'tosca.nodes.WebApplication', 'interfaces': {'CustomInterface': {'type': 'tosca.interfaces.CustomInterface', 'CustomOp3': None}}}}",0
"{'tosca.nodes.NodeWithReq': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'host': {'capability': 'tosca.capabilities.SomeCap', 'relationship': 'tosca.relationships.HostedOn', 'occurrences': [1, 1]}}]}}",0
"{'tosca.nodes.NodeWithCap': {'derived_from': 'tosca.nodes.SoftwareComponent', 'capabilities': {'host': {'type': 'tosca.capabilities.SomeCap'}}}}",0
"{'tosca.nodes.SomeNode': {'derived_from': 'tosca.nodes.Root', 'properties': {'some_prop': {'type': 'string'}}, 'requirements': [{'host_child': {'capability': 'tosca.capabilities.ContainerChild', 'node': 'tosca.nodes.SomeNode2', 'relationship': 'tosca.relationships.HostedOn'}}]}}",0
"{'tosca.nodes.SomeNode2': {'derived_from': 'tosca.nodes.Root', 'capabilities': {'host_child': {'type': 'tosca.capabilities.ContainerChild'}}, 'requirements': [{'host': {'capability': 'tosca.capabilities.Container', 'node': 'tosca.nodes.Compute', 'relationship': 'tosca.relationships.HostedOn'}}]}}",0
"{'tosca.nodes.SoftwareComponent.Kibana': {'derived_from': 'tosca.nodes.SoftwareComponent', 'requirements': [{'search_endpoint': {'capability': 'tosca.capabilities.Endpoint', 'node': 'tosca.nodes.SoftwareComponent.Elasticsearch', 'relationship': 'tosca.relationships.ConnectsTo'}}]}}",0
"{'tosca.nodes.SoftwareComponent.Elasticsearch': {'derived_from': 'tosca.nodes.SoftwareComponent', 'capabilities': {'search_endpoint': {'type': 'tosca.capabilities.Endpoint'}}}}",0
